sky blue	#70A3CC
sky gray	#BCD4E6
slate-black	#222222
slate-blue 	#4C516D
slate color	#555555
slate-gray	#555555
slate-olive	#7D8984
slate-purple	#796878
slate-violet   	#50404D
slate-violet   	#796878
smalt blue	#30267A
smoke gray	#C2B280
snuff brown	#826644
soft blue-violet	#7E73B8
soft bluish violet	#604E97
sooty black	#555555
sorghum brown	#674C47
sorrento green	#317873
spectrum blue	#00A1C2
spectrum red	#BE0032
spectrum violet	#604E97
spinach green	#8A9A5B
spinel pink	#B3446C
spinel red	#B3446C
squill blue	#70A3CC
stone green	#679267
storm gray	#7D8984
strawberry pink	#CB6D51
straw yellow	#F8DE7E
strontian yellow  	#BEB72E
sudan brown	#80461B
sulphate green	#66ADA4
sulphine yellow	#AB9144
sulphur yellow	#EAE679
taupe brown	#50404D
tawny	#AE6938
tawny-olive	#826644
tea green	#8F9779
terra cotta	#B4745E
terre verte	#5E716A
testaceous	#B4745E
thulite pink	#E68FAC
tiber green	#93C592
tilleul-buff	#ECD5C5
tourmaline pink	#9E4F88
turquoise green	#66ADA4
turtle green	#8A9A5B
tyrian blue	#536878
tyrian pink	#9E4F88
tyrian rose	#CE4676
tyrolite green	#66ADA4
ultramarine ash	#0067A5
ultramarine blue	#00A1C2
urania blue	#2F2140
vanderpoel's blue	#0067A5
vanderpoel's green	#BDDA57
vanderpoel's violet	#8C82B6
vandyke brown	#6F4E37
vandyke red	#905D5D
variscite green	#8ED1B2
varley's gray	#796878
varley's green	#355E3B
venetian blue	#0067A5
venetian pink	#F88379
venice green	#00A693
verbena violet	#9690AB
verdigris green	#6AAB8E
vernonia purple	#915F6D
verona brown	#6F4E37
veronese green	#C9DC89
vetiver green	#8A9A5B
victoria lake	#722F37
vinaceous	#EA9399
vinaceous-brown	#905D5D
vinaceous-buff	#F4C2C2
vinaceous-cinnamon	#D9A6A9
vinaceous-drab	#905D5D
vinaceous-fawn	#D9A6A9
vinaceous-gray	#AA98A9
vinaceous-lavender	#DEA5A4
vinaceous-lilac	#C17E91
vinaceous-pink	#B4745E
vinaceous-purple   	#A8516E
vinaceous-purple   	#836479
vinaceous-rufous	#9E4732
