cattail	#483C32
cattleya	#86608E
caucasia	#7E6D5A
cauldron	#79443B
cavalry	#E3A857
cedar	#674C47
cedar	#8A9A5B
cedar	#79443B
cedarbark	#79443B
cedar bough	#8A9A5B
cedar green	#4A5D23
cedar green	#4A5D23
cedar rose	#905D5D
cedar wood	#79443B
cedre	#4A5D23
celadon	#8DA399
celadon gray	#8DA399
celadon green	#8F9779
celadon green	#8DA399
celadon tint	#C7E6D7
celandine green	#5E716A
celandine green	#8DA399
celest	#8C92AC
celestial	#436B95
celestial blue	#91A3B0
celestial blue	#6C79B8
celestial yellow	#F3E5AB
cellini	#CE4676
cement	#848482
cendre blue	#239EBA
cendre green	#83D37D
cendrillon	#51585E
centennial brown	#826644
centre blue	#436B95
ceramic	#436B95
ceramic	#436B95
ceres	#D99058
ceres	#F8DE7E
cerise	#AB4E52
cerise	#78184A
cerise pink	#B3446C
cerise rose	#E4717A
cerro green	#8A9A5B
cerro green	#4A5D23
certosa	#8A9A5B
cerulean	#8791BF
cerulean blue	#00A1C2
cerulean blue	#0067A5
cerulean blue	#436B95
cerulein Blue	#0067A5
ceylon blue	#004958
ceylon blue	#536878
chaetura black	#222222
chaetura black	#483C32
chaetura drab	#555555
chaetura drab	#5B504F
chalcedony yellow	#EAE679
chalet red	#905D5D
chalk blue	#91A3B0
chalk pink	#DEA5A4
chalk violet	#9690AB
chalky blue	#91A3B0
chamois	#C2B280
chamois	#C9AE5D
chamois skin	#C2B280
chamois yellow	#C19A6B
chamoline	#967117
champagne	#BFB8A5
champagne	#F3E5AB
champagne	#FAD6A5
champagne buff	#F3E5AB
chantilly	#6AAB8E
chapman's blue	#436B95
charcoal	#222222
charcoal	#5D555B
charcoal gray	#222222
charcoal grey	#555555
chardon	#673147
charles x	#673147
charm	#EFBBCC
charm	#9CD1DC
charm pink	#E68FAC
charm school	#AF868E
chartreuse	#B9B459
chartreuse	#8A9A5B
chartreuse	#BEB72E
chartreuse green	#BDDA57
chartreuse green	#98943E
chartreuse green	#BDDA57
chartreuse tint	#DADFB7
chartreuse yellow	#B9B459
chartreuse yellow	#E9E450
chartreuse yellow	#EAE679
chartreuse yellow	#B9B459
chasseur	#173620
chaste	#F2F3F4
chateau	#66AABC
chateau grey + 	#848482
chatemuc	#AB4E52
chatenay pink	#D9A6A9
chatenay pink	#D9A6A9
chaudron	#79443B
checkerberry	#BE0032
cheddar cheese	#E3A857
cheer	#F3C300
cheerful yellow	#F0EAD6
chelsea yellow	#EBE8A4
chemic blue	#004958
chemic green	#317873
cherokee	#CB6D51
cherry	#BE0032
cherry	#E25822
cherry	#AB4E52
cherry	#B3446C
cherry bloom	#F88379
cherry blossom	#AB4E52
cherry pink	#DEA5A4
cherry red	#E25822
cherry red	#AB4E52
cherry rose	#AB4E52
cherry wine	#722F37
cherub	#D9A6A9
